Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,2983,14107.5,9452.9,9034.7000000000007,8690.9,9695.7000000000007,14738.4,13366,14134,15833,14604,14458,14633,14821,14607,15450,19270,15238,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,IGO AU Equity,IGO LTD,AUD,4.423,52.268000000000001,68.497,86.525000000000006,114.58,275.61099999999999,249.607,231.023,273.54599999999999,1040.8330000000001,812.92399999999998,821.98199999999997,780.80700000000002,820.22299999999996,2007.3910000000001,2208.4830000000002,2174.9279999999999,2190.2689999999998,2293.0300000000002,3608.732,4863.3,4737.8999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MGR AU Equity,MIRVAC GROUP,AUD,2777.2051000000001,3641.7548999999999,4306.42,5334.4849999999997,6055.134,7352.62,7494.7380000000003,7424.9,7887.5,9138.2999999999993,8410.6,9246.4,9921.7000000000007,10403,11169,12108,13345,14771,15390,15913,17206,16882,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DXS AU Equity,DEXUS/AU,AUD,#N/A,#N/A,#N/A,6985.0029999999997,8287.5380000000005,9486.8359999999993,9348.9869999999992,8351.11,7871.0280000000002,7987.6440000000002,7364.107,7752.6,9750.9,10025.6,11782.8,12270.1,14017.3,16521.3,17580.5,18099.599999999999,19192.099999999999,18480.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,GPT AU Equity,GPT GROUP,AUD,6696.6000999999997,7695.1,9099.4,10431.700000000001,12001.9,13966.9,13029.8,9163.4,9751.7000000000007,9287.6,9343.2000000000007,9432.2000000000007,10159.1,11006.5,11817.9,12957.3,14778,15867.8,15346.9,17179.7,17294.2,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,EBO NZ Equity,EBOS GROUP LTD,AUD,78.098799999999997,80.9251,84.042500000000004,108.107,110.57599999999999,124.7561,386.50619999999998,399.80450000000002,421.86149999999998,415.2244,515.14859999999999,2142.0272,2143.6433999999999,2241.0603000000001,3053.5524999999998,3058.1961000000001,2952.0630000000001,3202.212,3746.79,3949.7579999999998,6264.5450000000001,6437.0330000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ORI AU Equity,ORICA LTD,AUD,3365.2,3555.3,4153.3,4311.2,5712.8,6214.4,8007.8,7354.2,6989.4,7628.2,7623.6,8613.5,8839.2000000000007,7321.3,6595.8,6785.2,7164.4,7294,8203.5,7365.7,8367.7999999999993,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,10.396699999999999,11.388199999999999,18.310300000000002,15.112299999999999,6.8746999999999998,6.8952999999999998,49.323999999999998,222.017,225.49600000000001,1269.4480000000001,1021.97,1109.5229999999999,1312.2380000000001,2187.1590000000001,2945.4690000000001,3056.3159999999998,3093.8910000000001,3777.95,3957.0349999999999,6630.0659999999998,6752.3850000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,YAL AU Equity,YANCOAL AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4428.058,4551.8680000000004,5506.6570000000002,7584.5630000000001,7654.3440000000001,7479.4049999999997,7869.7,7659.8,12313,11379,11093,11055,11800,12801,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8573.9,9211.2000000000007,10020.5,10519.1,10948,11336,10869,9845.9,9781.7999999999993,9701.1,9772,9764.6,9675.5,11679,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,WHC AU Equity,WHITEHAVEN COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,107.017,352.22199999999998,623.35199999999998,1006.999,1351.316,1462.395,4343.2650000000003,4100.84,4282.4849999999997,4189.3710000000001,4075.665,3967.04,4625.9160000000002,4845.1319999999996,5212.0370000000003,4392.866,6124.5330000000004,7510.9089999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,AKE AU Equity,ALLKEM LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.38700000000000001,0.71660000000000001,6.2510000000000003,10.515700000000001,40.7774,68.115200000000002,64.352099999999993,214.43039999999999,187.2422,251.4169,289.81810000000002,312.76760000000002,707.08410000000003,1587.5595000000001,1662.7881,1798.9783,6499.9002,7823.0514000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
